Brand,Channel Type,Company,Customer ID,Market,Other base product Type,Product ID,Product Segment,Actual Sales,Cost,costPrice,Estimated Sales,Number of Records,Order Qty,Profit,Profit %,Profit Value,Profit%,Unit Price,Variance
Gilead Sciences,Telephone,Oxymed.io,679,Denmark,Clinisol 15% Sulfite Free In Plastic Container,708,Suspension/Drops,3943028,4,3818912,3943027,1,954728,0.3717,0.032500356,124116,0.09,4.13,1
Roche,Telephone,Oxymed.io,679,France,Pletal,770,Spray,2637271,28,2325064,2637272,1,83038,3.4936,0.134278884,312207,0.11,31.76,-1
Pfizer,Telephone,Oxymed.io,679,Germany,Aminosyn Ii 3.5% In Dextrose 5% In Plastic Container,758,Gel,2281645,4,2293112,2281646,1,573278,0.2786,-0.005000628,-11467,0.07,3.98,-1
Sanofi,Telephone,Oxymed.io,679,United Kingdom,Darvon Compound,715,Ointment,7693309,7,6723241,7693310,1,960463,1.2816,0.144285769,970068,0.16,8.01,-1
Merck,Telephone,Oxymed.io,679,Belgium,Angio-Conray,753,Solution,2508065,232,2079416,2508064,1,8963,47.5677,0.206139128,428649,0.17,279.81,1
GSK,Telephone,Oxymed.io,679,Switzerland,Darbid,760,Suspension/Drops,12055400,4,9821100,12055399,1,2455275,0.9329,0.227499975,2234300,0.19,4.91,1
AstraZeneca,Telephone,Oxymed.io,679,Austria,Abstral,729,Tablet,3364092,24,2652384,3364093,1,110516,6.088,0.268327663,711708,0.2,30.44,-1
Bayer,Telephone,Oxymed.io,203,Italy,Imitrex,711,Tablet,8198657,7,7320229,8198657,1,1045747,1.176,0.120000071,878428,0.15,7.84,0
Gilead Sciences,Telephone,Oxymed.io,203,Spain,Indium In-111 Oxyquinoline,716,For Solution,9264262,101,8882546,9264263,1,87946,4.2136,0.042973715,381716,0.04,105.34,-1
Roche,Sales visit,Jacob& sons,203,United States,Xalkori,758,Suppository,6842661,31,6431849,6842662,1,207479,1.649,0.063871524,410812,0.05,32.98,-1
Pfizer,Sales visit,Jacob& sons,203,Canada,Atracurium Besylate Preservative Free,715,Concentrate,9812588,111,9390489,9812589,1,84599,4.6396,0.044949629,422099,0.04,115.99,-1
Sanofi,Sales visit,Jacob& sons,203,Mexico,Thioridazine Hydrochloride Intensol,756,Suppository,14844988,151,12454027,14844989,1,82477,28.7984,0.191982963,2390961,0.16,179.99,-1
Merck,Sales visit,Jacob& sons,203,Brazil,Nitrol,755,Tablet,7740444,15,7628565,7740445,1,508571,0.4566,0.014665799,111879,0.03,15.22,-1
GSK,Sales visit,Jacob& sons,203,Japan,Alli,725,Injectable,4645903,855,4509270,4645902,1,5274,26.4294,0.030300470,136633,0.03,880.98,1
AstraZeneca,Sales visit,Jacob& sons,203,Korea,Inomax,707,For Solution,5368550,75,4365600,5368551,1,58208,17.5237,0.229739326,1002950,0.19,92.23,-1
Bayer,Sales visit,Jacob& sons,203,China,Curosurf,754,Suspension/Drops,2298506,3,2385993,2298505,1,795331,0.3757,-0.036666914,-87487,0.13,2.89,1
Gilead Sciences,Sales visit,Jacob& sons,203,Singapore,Hetrazan,708,Spray,4048339,190,3530770,4048338,1,18583,28.3205,0.146588138,517569,0.13,217.85,1
Roche,Sales visit,Jacob& sons,203,Australia,Halcion,712,Syrup,14588264,72,12970584,14588265,1,180147,8.9078,0.124719134,1617680,0.11,80.98,-1
Pfizer,Sales visit,Jacob& sons,203,Netherlands,Gynorest,761,For Solution,3940080,19,3691396,3940079,1,194284,1.4196,0.067368551,248684,0.07,20.28,1
Sanofi,Sales visit,Jacob& sons,203,Sweden,Rocaltrol,762,Suppository,10523532,72,10241856,10523531,1,142248,2.2194,0.027502437,281676,0.03,73.98,1
Merck,Sales visit,Jacob& sons,203,Finland,Propranolol Hydrochloride Intensol,732,Ointment,2239272,30,2168430,2239271,1,72281,1.2392,0.032669720,70842,0.04,30.98,1
GSK,Sales visit,Martin Pharma,203,Denmark,Cardioquin,765,Aerosol,12616562,6,11067162,12616563,1,1844527,0.5472,0.139999758,1549400,0.08,6.84,-1
AstraZeneca,Sales visit,Martin Pharma,203,France,Osmitrol 15% In Water,738,Solution,5788028,11,5441733,5788029,1,494703,1.17,0.063636897,346295,0.1,11.7,-1
Bayer,Sales visit,Martin Pharma,203,Germany,Geodon,760,Suspension,2005040,192,1924992,2005041,1,10026,7.9996,0.041583549,80048,0.04,199.99,-1
Gilead Sciences,Sales visit,Martin Pharma,203,United Kingdom,Methergine,729,Solution,12359255,56,10202192,12359254,1,182182,11.5328,0.211431328,2157063,0.17,67.84,1
Roche,Sales visit,Martin Pharma,203,Belgium,Aminophylline,770,Capsule,6556880,207,5693328,6556881,1,27504,30.992,0.151677894,863552,0.13,238.4,-1
Pfizer,Sales visit,Martin Pharma,480,Switzerland,Peg-Lyte,760,Solution,4956264,14,4811912,4956265,1,343708,0.721,0.029998886,144352,0.05,14.42,-1
Sanofi,Sales visit,Martin Pharma,480,Austria,Aminosyn-Rf 5.2%,715,Concentrate,14847427,120,14141520,14847426,1,117846,6.2995,0.049917336,705907,0.05,125.99,1
Merck,Sales visit,Martin Pharma,480,Italy,Levonorgestrel And Ethinyl Estradiol And Ethinyl Estradiol,770,For Solution,10350610,1,5948626,10350611,1,5948626,0.348,0.740000128,4401984,0.2,1.74,-1
GSK,Sales visit,Martin Pharma,491,Spain,Propoxyphene Compound-65,712,Suppository,6679206,38,6348432,6679207,1,167064,1.999,0.052103260,330774,0.05,39.98,-1
AstraZeneca,Web,Martin Pharma,491,United States,Flagyl I.V. Rtu In Plastic Container,765,Spray,11157023,308,9136204,11157024,1,29663,67.7034,0.221188034,2020819,0.18,376.13,-1
Bayer,Web,Martin Pharma,491,Canada,Galzin,761,Cream,7690089,146,7436364,7690090,1,50934,4.5294,0.034119497,253725,0.03,150.98,-1
Gilead Sciences,Web,Martin Pharma,491,Mexico,Metoclopramide Intensol,753,Syrup,10103731,28,8710100,10103730,1,311075,4.2224,0.160001722,1393631,0.13,32.48,1
Roche,Web,Max Pharma,491,Brazil,Curosurf,763,Suspension/Drops,12497206,2,8648586,12497205,1,4324293,0.4335,0.444999911,3848620,0.15,2.89,1
Pfizer,Web,Max Pharma,491,Japan,Fluothane,758,Ointment,8523948,6,8552454,8523949,1,1425409,0.299,-0.003333078,-28506,0.05,5.98,-1
Sanofi,Web,Max Pharma,491,Korea,Klebcil,725,For Solution,13374110,83,12201083,13374111,1,147001,8.1882,0.096141220,1173027,0.09,90.98,-1
Merck,Web,Max Pharma,491,China,Optimine,715,Capsule,10640033,25,10238675,10640032,1,409547,0.5196,0.039200189,401358,0.02,25.98,1
GSK,Web,Max Pharma,491,Singapore,Tylenol (Geltab),711,For Solution,13536343,14,13215398,13536342,1,943957,0.2868,0.024285686,320945,0.02,14.34,1
AstraZeneca,Web,Max Pharma,491,Australia,Dextrose 5% And Sodium Chloride 0.11% In Plastic Container,729,Concentrate,6385830,194,6014194,6385829,1,31001,12.3594,0.061793151,371636,0.06,205.99,1
Bayer,Web,Max Pharma,491,Netherlands,Choloxin,707,Concentrate,5596579,101,5092824,5596578,1,50424,9.9891,0.098914669,503755,0.09,110.99,1
Gilead Sciences,Web,Max Pharma,491,Sweden,Vancocin Hydrochloride In Plastic Container,738,Lotion,13361827,1,11720901,13361828,1,11720901,0.0798,0.139999988,1640926,0.07,1.14,-1
Roche,Web,Max Pharma,491,Finland,Triaminic-12,756,Gel,11574544,3,11810760,11574543,1,3936920,0.1764,-0.020000068,-236216,0.06,2.94,1
Pfizer,Web,Max Pharma,491,Denmark,Estrace,760,Gel,12173052,40,11071440,12173051,1,276786,3.9582,0.099500336,1101612,0.09,43.98,1
Sanofi,Web,Max Pharma,491,France,Metoclopramide Intensol,708,Syrup,9687438,32,9544288,9687437,1,298259,0.9744,0.014998500,143150,0.03,32.48,1
Merck,Web,Max Pharma,423,Germany,Cefuroxime And Dextrose In Duplex Container,753,Ointment,4593386,7,4673501,4593387,1,667643,0.344,-0.017142395,-80115,0.05,6.88,-1
GSK,Web,Synergy Ltd.,423,United Kingdom,Trasylol,764,Gel,13748817,2,16367640,13748816,1,8183820,0.1344,-0.160000037,-2618823,0.08,1.68,1
AstraZeneca,Web,Synergy Ltd.,423,Belgium,Fludara,760,Ointment,6793442,51,6244848,6793443,1,122448,4.4384,0.087847454,548594,0.08,55.48,-1
Bayer,Web,Synergy Ltd.,423,Switzerland,Docetaxel,756,Solution,7042716,48,5636064,7042717,1,117418,11.996,0.249580558,1406652,0.2,59.98,-1
Gilead Sciences,Web,Synergy Ltd.,423,Austria,Dostinex,716,Tablet,12901202,5,12452900,12901203,1,2490580,0.1554,0.035999807,448302,0.03,5.18,-1
Roche,Web,Synergy Ltd.,423,Italy,Citanest,711,Concentrate,4490500,84,3929604,4490500,1,46781,11.5188,0.142736011,560896,0.12,95.99,0
Pfizer,Web,Synergy Ltd.,423,Spain,Naftin,761,Tablet,11158282,354,9382770,11158283,1,26505,67.3568,0.189231112,1775512,0.16,420.98,-1
Sanofi,Special,Synergy Ltd.,423,United States,Clinimix 2.75/5 Sulfite Free In Dextrose 5% In Plastic Container,712,Injectable,10820531,200,8980400,10820532,1,44902,40.9666,0.204905238,1840131,0.17,240.98,-1
Merck,Special,Synergy Ltd.,423,Canada,Q-Pam,738,Suppository,14604224,14,12794684,14604223,1,913906,1.598,0.141429050,1809540,0.1,15.98,1
GSK,Special,Synergy Ltd.,423,Mexico,Technescan Hida,725,Suppository,4200515,31,4097425,4200516,1,132175,0.9534,0.025159704,103090,0.03,31.78,-1
AstraZeneca,Special,Synergy Ltd.,423,Brazil,"Zinc Bacitracin,Neomycin Sulfate,Polymyxin B Sulfate & Hydrocortisone",762,Cream,11174937,523,10168689,11174938,1,19443,51.7266,0.098955529,1006248,0.09,574.74,-1
Bayer,Special,Synergy Ltd.,423,Japan,Potassium Chloride 0.15% In Dextrose 5% And Sodium Chloride 0.9% In Plastic Container,715,Solution,2763264,71,2494514,2763265,1,35134,7.865,0.107736417,268750,0.1,78.65,-1
Gilead Sciences,Special,Synergy Ltd.,423,Korea,Cefepime In Plastic Container,758,Aerosol,7061364,7,5926802,7061365,1,846686,1.1676,0.191429037,1134562,0.14,8.34,-1
Roche,Special,Xlabs,423,China,n/a,730,Ointment,5646648,5,5669325,5646649,1,1133865,0.3486,-0.003999947,-22677,0.07,4.98,-1
Pfizer,Special,Xlabs,423,Singapore,Daunoxome,770,Suspension/Drops,6065268,6,5776446,6065267,1,962741,0.315,0.049999948,288822,0.05,6.3,1
Sanofi,Special,Xlabs,423,Australia,Uroplus Ds,708,Capsule,3046033,135,2554470,3046033,1,18922,25.7568,0.192432481,491563,0.16,160.98,0
Merck,Special,Xlabs,423,Netherlands,Dextrose 10% And Sodium Chloride 0.9% In Plastic Container,729,Suppository,6865497,45,6180165,6865496,1,137337,4.4991,0.110892185,685332,0.09,49.99,1
GSK,Special,Xlabs,423,Sweden,Albalon,707,Ointment,11144094,6,8751906,11144095,1,1458651,1.528,0.273333374,2392188,0.2,7.64,-1
AstraZeneca,Special,Xlabs,423,Finland,Celestone Soluspan,732,Ointment,13791393,6,11855064,13791394,1,1975844,0.9074,0.163333492,1936329,0.13,6.98,-1
Bayer,Special,Xlabs,423,Denmark,Fazaclo Odt,768,Spray,7881313,177,6377133,7881314,1,36029,41.5625,0.235870884,1504180,0.19,218.75,-1
Gilead Sciences,Special,Xlabs,423,France,Sevoflurane,714,Cream,4460055,71,3910893,4460054,1,55083,9.7164,0.140418569,549162,0.12,80.97,1
Roche,Special,Xlabs,486,Germany,Dialyte Lm/ Dextrose 1.5% In Plastic Container,770,Suppository,1819647,38,1530146,1819646,1,40267,6.7785,0.189198286,289501,0.15,45.19,1
Pfizer,Special,Xlabs,486,United Kingdom,Crinone,760,Suspension/Drops,7714751,3,7514367,7714751,1,2504789,0.308,0.026666784,200384,0.1,3.08,0
Sanofi,Special,Xlabs,486,Belgium,Testosterone Cypionate-Estradiol Cypionate,758,Suppository,11293074,71,9648687,11293073,1,135897,11.634,0.170425986,1644387,0.14,83.1,1
Merck,Special,Xlabs,486,Switzerland,Vancocin Hydrochloride In Plastic Container,715,Lotion,6886340,1,6040649,6886339,1,6040649,0.2052,0.140000023,845691,0.18,1.14,1
GSK,Special,zeta,486,Austria,Klebcil,762,For Solution,2861548,84,2641968,2861549,1,31452,7.2784,0.083112286,219580,0.08,90.98,-1
AstraZeneca,Special,zeta,506,Italy,Scabene,775,Spray,2794743,131,2375292,2794742,1,18132,23.1195,0.176589236,419451,0.15,154.13,1
Bayer,Special,zeta,506,Spain,Ocl,778,Capsule,7227005,114,6698754,7227006,1,58761,8.6093,0.078858098,528251,0.07,122.99,-1
Gilead Sciences,Mail,zeta,506,United States,Amphetamine Sulfate,709,For Solution,6160932,8,6092392,6160933,1,761549,0.3236,0.011250097,68540,0.04,8.09,-1
Roche,Mail,zeta,506,Canada,Balziva-21,707,Concentrate,9547431,31,8223680,9547430,1,265280,5.3985,0.160968204,1323751,0.15,35.99,1
Pfizer,Mail,zeta,506,Mexico,Sulfatrim,772,For Solution,728186,5,716720,728185,1,143344,0.3048,0.015997879,11466,0.06,5.08,1
Sanofi,Mail,zeta,506,Brazil,Vivitrol,777,Cream,10053528,138,9538560,10053527,1,69120,7.2725,0.053988023,514968,0.05,145.45,1
Merck,Mail,zeta,506,Japan,Histamine Phosphate,711,Ointment,8457650,5,6525965,8457651,1,1305193,1.296,0.295999902,1931685,0.2,6.48,-1
GSK,Mail,zeta,506,Korea,Xylocaine W/ Epinephrine,708,Tablet,8751594,2,8103328,8751595,1,4051664,0.1944,0.079999970,648266,0.09,2.16,-1
AstraZeneca,Mail,zeta,506,China,Mexate-Aq Preserved,774,Syrup,13825176,12,12353100,13825175,1,1029425,1.8802,0.119166525,1472076,0.14,13.43,1
Bayer,Mail,zeta,506,Singapore,Tri-Norinyl 21-Day,773,Gel,863026,3,880638,863025,1,293546,0.1764,-0.019999137,-17612,0.06,2.94,1
Gilead Sciences,Mail,zeta,506,Australia,Femcon Fe,776,Spray,4373785,120,3593640,4373786,1,29947,26.289,0.217090471,780145,0.18,146.05,-1
Roche,Mail,Patrick Pharma,506,Netherlands,Temozolomide,712,Capsule,7323778,33,7120938,7323779,1,215786,1.3576,0.028485011,202840,0.04,33.94,-1
Pfizer,Mail,Patrick Pharma,506,Sweden,Dilantin-125,715,Suppository,10173671,1,5984512,10173670,1,5984512,0.272,0.700000100,4189159,0.16,1.7,1
Sanofi,Mail,Patrick Pharma,549,Finland,Norethin 1/50M-28,754,Tablet,7398880,14,7153608,7398879,1,510972,0.5792,0.034286475,245272,0.04,14.48,1
Merck,Mail,Patrick Pharma,549,Denmark,Dextrose 60%,762,Suppository,11217999,27,10133343,11217998,1,375309,2.6901,0.107038319,1084656,0.09,29.89,1
GSK,Mail,Patrick Pharma,549,France,Chlorhexidine Gluconate,760,Lotion,5501688,5,4734670,5501689,1,946934,0.9296,0.162000308,767018,0.16,5.81,-1
AstraZeneca,Mail,Patrick Pharma,549,Germany,Benylin,758,Ointment,14044441,8,13471888,14044440,1,1683986,0.2502,0.042499834,572553,0.03,8.34,1
Bayer,Mail,Patrick Pharma,549,United Kingdom,Talacen,770,Tablet,11962464,12,11067816,11962463,1,922318,1.0376,0.080833292,894648,0.08,12.97,1
Gilead Sciences,Mail,Patrick Pharma,549,Belgium,Cortef,763,Suspension/Drops,3783744,4,3082480,3783743,1,770620,0.5401,0.227499935,701264,0.11,4.91,1
Roche,Mail,Patrick Pharma,458,Switzerland,Cladribine,765,Ointment,10397760,7,9997848,10397761,1,1428264,0.6552,0.039999808,399912,0.09,7.28,-1
Pfizer,Mail,Patrick Pharma,458,Austria,Premphase (Premarin;Cycrin 14/14),725,Ointment,12728795,6,11433048,12728794,1,1905508,0.9352,0.113333470,1295747,0.14,6.68,1
Sanofi,Mail,Patrick Pharma,458,Italy,Zuplenz,763,Ointment,13285101,7,12774139,13285100,1,1824877,0.1456,0.039999721,510962,0.02,7.28,1
Merck,Mail,Patrick Pharma,458,Spain,Ozurdex,754,Cream,14617445,406,11846268,14617446,1,29178,95.1862,0.233928272,2771177,0.19,500.98,-1
GSK,E-mail,Medcare Ltd.,344,United States,Adderall 5,758,Concentrate,6116631,188,5867292,6116630,1,31209,7.8396,0.042496436,249339,0.04,195.99,1
AstraZeneca,E-mail,Medcare Ltd.,344,Canada,Angio-Conray,762,Solution,9404443,263,8839430,9404444,1,33610,16.7886,0.063919619,565013,0.06,279.81,-1
Bayer,E-mail,Medcare Ltd.,344,Mexico,Amlodipine Besylate,770,Gel,6561542,3,6834939,6561541,1,2278313,0.2016,-0.039999918,-273397,0.07,2.88,1
Gilead Sciences,E-mail,Medcare Ltd.,269,Brazil,Pradaxa,768,Syrup,6868316,146,5618664,6868315,1,38484,32.1246,0.222410879,1249652,0.18,178.47,1
Roche,E-mail,Medcare Ltd.,269,Japan,Lincomycin Hydrochloride,765,For Solution,6108456,9,5508630,6108455,1,612070,0.499,0.108888417,599826,0.05,9.98,1
Pfizer,E-mail,Medcare Ltd.,161,Korea,Elestrin,725,Spray,11956831,244,11233516,11956830,1,46039,15.5826,0.064389012,723315,0.06,259.71,1
Sanofi,E-mail,Medcare Ltd.,161,China,Zidovudine,754,Cream,8441617,960,8104320,8441616,1,8442,39.9996,0.041619408,337297,0.04,999.99,1
Merck,E-mail,Medcare Ltd.,161,Singapore,Cephalothin Sodium W/ Dextrose In Plastic Container,753,Concentrate,13005150,194,12248190,13005149,1,63135,12.3594,0.061801785,756960,0.06,205.99,1
GSK,E-mail,Medcare Ltd.,161,Australia,Sensipar,770,Spray,14234764,61,12166450,14234765,1,199450,9.9918,0.170001438,2068314,0.14,71.37,-1
AstraZeneca,E-mail,Medcare Ltd.,161,Netherlands,Cefzil,765,Concentrate,11812453,63,11277252,11812452,1,179004,2.6396,0.047458459,535201,0.04,65.99,1
Bayer,E-mail,Medcare Ltd.,161,Sweden,Uroplus Ds,758,Capsule,5366517,129,4300473,5366518,1,33337,32.196,0.247889941,1066044,0.2,160.98,-1
Gilead Sciences,E-mail,Medcare Ltd.,161,Finland,Cytosar-U,763,Concentrate,870858,108,746496,870857,1,6912,17.6386,0.166594329,124362,0.14,125.99,1
Roche,E-mail,Oxymed.io,161,Denmark,Zovia 1/50E-21,738,Syrup,5377513,16,4861024,5377512,1,303814,2.124,0.106251070,516489,0.12,17.7,1
Pfizer,E-mail,Oxymed.io,161,France,Extra-Strength Aim,762,Ointment,9877774,6,8872254,9877773,1,1478709,0.5344,0.113333094,1005520,0.08,6.68,1
Sanofi,E-mail,Oxymed.io,161,Germany,Cholebrine,760,Tablet,2139697,27,1890432,2139697,1,70016,3.6672,0.131856105,249265,0.12,30.56,0
Merck,E-mail,Oxymed.io,161,United Kingdom,Betamethasone Dipropionate,729,Ointment,11169842,18,10062918,11169843,1,559051,1.7982,0.110000300,1106924,0.09,19.98,-1
GSK,E-mail,Oxymed.io,166,Belgium,Myoview 30Ml,761,Tablet,5176848,12,4097772,5176847,1,341481,3.032,0.263332367,1079076,0.2,15.16,1
AstraZeneca,E-mail,Oxymed.io,166,Switzerland,Thioridazine Hydrochloride Intensol,754,Suppository,974250,155,839015,974249,1,5413,25.1986,0.161183054,135235,0.14,179.99,1
Bayer,E-mail,Oxymed.io,166,Austria,Q-Pam,762,Suppository,13144673,15,12338550,13144674,1,822570,1.1186,0.065333690,806123,0.07,15.98,-1
Gilead Sciences,E-mail,Oxymed.io,166,Italy,"Clopra-""Yellow""",758,For Solution,11260868,101,10731755,11260869,1,106255,5.299,0.049303492,529113,0.05,105.98,-1
Roche,E-mail,Oxymed.io,166,Spain,Clinimix 2.75/5 Sulfite Free In Dextrose 5% In Plastic Container,768,Injectable,14168425,224,13170080,14168426,1,58795,16.8686,0.075804019,998345,0.07,240.98,-1
Pfizer,Fax,Oxymed.io,166,United States,Edarbi,765,Ointment,5958518,10,5254430,5958519,1,525443,1.4742,0.133998930,704088,0.13,11.34,-1
Sanofi,Fax,Oxymed.io,166,Canada,Chlorpropamide,732,For Solution,14808923,11,13330449,14808924,1,1211859,1.5886,0.110909543,1478474,0.13,12.22,-1
Merck,Fax,Oxymed.io,166,Mexico,Azactam,730,Cream,1160714,12,995604,1160715,1,82967,1.8187,0.165839028,165110,0.13,13.99,-1
GSK,Fax,Jacob& sons,166,Brazil,Hiprex,729,Tablet,3482897,5,2733830,3482896,1,546766,1.0829,0.273999115,749067,0.17,6.37,1
AstraZeneca,Fax,Jacob& sons,166,Japan,Gynorest,763,For Solution,14775449,20,14571440,14775450,1,728572,0.4056,0.014000607,204009,0.02,20.28,-1
Bayer,Fax,Jacob& sons,166,Korea,Serpasil-Esidrix #2,726,Cream,10918580,1853,9933933,10918579,1,5361,183.2832,0.099119553,984647,0.09,2036.48,1
Gilead Sciences,Fax,Jacob& sons,166,China,Claritin Reditabs,760,Concentrate,1946827,183,1729533,1946828,1,9451,22.6589,0.125637383,217294,0.11,205.99,-1
Roche,Fax,Jacob& sons,166,Singapore,Darbid,770,Concentrate,10821367,177,9298341,10821368,1,52533,28.8386,0.163795456,1523026,0.14,205.99,-1
Pfizer,Fax,Jacob& sons,166,Australia,Mannitol 10%,766,Solution,4495179,55,4054380,4495180,1,73716,5.4882,0.108721679,440799,0.09,60.98,-1
Sanofi,Fax,Jacob& sons,166,Netherlands,Nph Iletin I (Beef-Pork),755,Capsule,2129955,222,1744920,2129956,1,7860,48.7764,0.220660546,385035,0.18,270.98,-1
Merck,Fax,Jacob& sons,166,Sweden,Galzin,764,Cream,5709827,139,5256702,5709828,1,37818,12.0784,0.086199484,453125,0.08,150.98,-1
GSK,Fax,Jacob& sons,166,Finland,Methotrexate Sodium Preservative Free,753,Syrup,12268919,144,10027440,12268918,1,69635,31.7142,0.223534521,2241479,0.18,176.19,1
AstraZeneca,Fax,Jacob& sons,166,Denmark,Triavil 4-25,749,Gel,12492819,3,13481460,12492818,1,4493820,0.1946,-0.073333378,-988641,0.07,2.78,1
Bayer,Fax,Jacob& sons,166,France,Neothylline,725,Tablet,2023294,10,1614760,2023295,1,161476,2.1301,0.252999827,408534,0.17,12.53,-1
Gilead Sciences,Fax,Jacob& sons,166,Germany,Dopamine Hydrochloride In Dextrose 5% In Plastic Container,738,Tablet,11606737,6,9808512,11606738,1,1634752,1.349,0.183333109,1798225,0.19,7.1,-1
Roche,Fax,Martin Pharma,166,United Kingdom,Cenestin,722,Concentrate,5876775,103,5218598,5876776,1,50666,12.7589,0.126121422,658177,0.11,115.99,-1
Pfizer,Fax,Martin Pharma,431,Belgium,Calcitonin-Salmon,760,Lotion,6021613,3,6062028,6021614,1,2020676,0.0894,-0.006666911,-40415,0.03,2.98,-1
Sanofi,Fax,Martin Pharma,431,Switzerland,Naturetin-2.5,715,Tablet,11368131,13,10356385,11368130,1,796645,0.8562,0.097692969,1011746,0.06,14.27,1
Merck,Fax,Martin Pharma,431,Austria,Delflex-Lm W/ Dextrose 4.25% In Plastic Container,770,Gel,8757543,6,7842576,8757543,1,1307096,0.871,0.116666641,914967,0.13,6.7,0
GSK,Fax,Martin Pharma,431,Italy,Aristogel,712,Suspension/Drops,12208112,6,10020336,12208113,1,1670056,1.0234,0.218333597,2187776,0.14,7.31,-1
AstraZeneca,Fax,Martin Pharma,292,Spain,Hectorol,758,Ointment,3921321,6,3630852,3921320,1,605142,0.324,0.080000231,290469,0.05,6.48,1
Bayer,Telephone,Martin Pharma,221,United States,Hydrocortone,755,Ointment,4753679,6,4401552,4753678,1,733592,0.9072,0.080000645,352127,0.14,6.48,1
Gilead Sciences,Telephone,Martin Pharma,221,Canada,Paremyd,707,Cream,9170263,79,8947145,9170264,1,113255,1.6194,0.024937340,223118,0.02,80.97,-1
Roche,Telephone,Martin Pharma,221,Mexico,"Heparin Sodium 25,000 Units In Sodium Chloride 0.45% In Plastic Container",770,Ointment,13675839,6,12662814,13675840,1,2110469,0.5832,0.079999991,1013025,0.09,6.48,-1
Pfizer,Telephone,Martin Pharma,221,Brazil,Lopid,729,For Solution,13735874,179,12654226,13735873,1,70694,15.544,0.085477215,1081648,0.08,194.3,1
Sanofi,Telephone,Martin Pharma,221,Japan,Videx,763,Injectable,6280953,98,5087866,6280952,1,51917,22.9862,0.234496545,1193087,0.19,120.98,1
Merck,Telephone,Martin Pharma,221,Korea,Betapace Af,711,Ointment,5669214,7,5451166,5669215,1,778738,0.2912,0.040000249,218048,0.04,7.28,-1
GSK,Telephone,Max Pharma,221,China,Constulose,761,For Solution,12679962,55,11498740,12679963,1,209068,6.065,0.102726212,1181222,0.1,60.65,-1
AstraZeneca,Telephone,Max Pharma,221,Singapore,Feridex I.V.,722,Spray,5896780,320,5419200,5896781,1,16935,27.8568,0.088127399,477580,0.08,348.21,-1
Bayer,Telephone,Max Pharma,221,Australia,Betamethasone Dipropionate,766,Ointment,2527960,19,2403975,2527961,1,126525,1.1988,0.051574996,123985,0.06,19.98,-1
Gilead Sciences,Telephone,Max Pharma,221,Netherlands,Hexalen,753,Spray,9126024,218,8395398,9126023,1,38511,18.9576,0.087026964,730626,0.08,236.97,1
Roche,Telephone,Max Pharma,221,Sweden,Hydralazine Hydrochloride-Hydrochlorothiazide-Reserpine,764,Ointment,974133,18,924318,974134,1,51351,1.1382,0.053893790,49815,0.06,18.97,-1
Pfizer,Telephone,Max Pharma,221,Finland,Acephen,765,Solution/Drops,11777771,8,10780568,11777772,1,1347571,1.0488,0.092500043,997203,0.12,8.74,-1
Sanofi,Telephone,Max Pharma,221,Denmark,Oreticyl 50,716,Suppository,1245668,130,1012180,1245667,1,7786,30.3981,0.230678338,233488,0.19,159.99,1
Merck,Telephone,Max Pharma,221,France,Cephalothin,726,Ointment,10013509,7,8783782,10013510,1,1254826,1.0374,0.139999718,1229727,0.13,7.98,-1
GSK,Telephone,Max Pharma,221,Germany,Janimine,756,Tablet,4576589,4,4817464,4576590,1,1204366,0.114,-0.050000374,-240875,0.03,3.8,-1
AstraZeneca,Telephone,Max Pharma,221,United Kingdom,Monistat 7 Combination Pack,725,Syrup,12803035,8,10548328,12803034,1,1318541,1.5536,0.213750179,2254707,0.16,9.71,1
Bayer,Telephone,Max Pharma,221,Belgium,Fenofibrate (Micronized),730,Spray,4226513,405,4101030,4226512,1,10126,12.522,0.030597923,125483,0.03,417.4,1
Gilead Sciences,Telephone,Max Pharma,221,Switzerland,Pravachol,754,For Solution,3207998,67,2731456,3207999,1,40768,11.8035,0.174464461,476542,0.15,78.69,-1
Roche,Telephone,Synergy Ltd.,221,Austria,Freamine Ii 8.5%,768,Suspension,13117708,616,11543840,13117709,1,18740,83.9988,0.136338341,1573868,0.12,699.99,-1
Pfizer,Telephone,Synergy Ltd.,221,Italy,Xylocaine,760,Solution/Drops,14935418,10,12897600,14935417,1,1289760,1.158,0.157999783,2037818,0.1,11.58,1
Sanofi,Telephone,Synergy Ltd.,221,Spain,"Dextrose 5%, Sodium Chloride 0.2% And Potassium Chloride 0.15% In Plastic Container",738,Tablet,5759498,8,5357672,5759499,1,669709,0.86,0.075000112,401826,0.1,8.6,-1
Merck,Sales visit,Synergy Ltd.,221,United States,Radioiodinated Serum Albumin (Human) Ihsa I 125,758,Suppository,7258990,4,5830516,7258989,1,1457629,0.5478,0.244999585,1428474,0.11,4.98,1
GSK,Sales visit,Synergy Ltd.,221,Canada,Dopamine Hydrochloride In Dextrose 5% In Plastic Container,708,Tablet,4475335,6,3781974,4475334,1,630329,0.71,0.183333095,693361,0.1,7.1,1
AstraZeneca,Sales visit,Synergy Ltd.,221,Mexico,Cardiolite,762,Solution/Drops,13901936,6,14685144,13901935,1,2447524,0.1136,-0.053333355,-783208,0.02,5.68,1
